[info] Mode: eval
[info] Global seed: 1
[info] Server seed: 4
[info] Shard: 3/8
[info] Checkpoint: /mnt/afs/zhengmingkai/raozf/models/Gr00t-N1.7-libero/libero_goal (libero_goal only)
[info] GPU: CUDA_VISIBLE_DEVICES=3
[info] LIBERO-Para: 4092 paraphrases over 10 goal tasks
[info] Python: /root/envs/gr00t_libero/bin/python (Python 3.10.20)
[info] Output: /mnt/afs/zhengmingkai/raozf/benchmark/Isaac-GR00T/logs/libero_para/gr00t/gr00t_libero_para_3seeds_20260711_134856/seed1/workers/rank_3
2026-07-11 13:50:27.281432: I tensorflow/core/util/port.cc:113] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the environment variable `TF_ENABLE_ONEDNN_OPTS=0`.
2026-07-11 13:50:27.313395: I tensorflow/core/platform/cpu_feature_guard.cc:182] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 AVX512F AVX512_VNNI AVX512_BF16 AVX_VNNI AMX_TILE AMX_INT8 AMX_BF16 FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.
/root/envs/gr00t_libero/lib/python3.10/site-packages/torchvision/datapoints/__init__.py:12: UserWarning: The torchvision.datapoints and torchvision.transforms.v2 namespaces are still Beta. While we do not expect major breaking changes, some APIs may still change according to user feedback. Please submit any feedback you may have in this issue: https://github.com/pytorch/vision/issues/6753, and you can also check out https://github.com/pytorch/vision/issues/7319 to learn more about the APIs that we suspect might involve future changes. You can silence this warning by calling torchvision.disable_beta_transforms_warning().
  warnings.warn(_BETA_TRANSFORMS_WARNING)
/root/envs/gr00t_libero/lib/python3.10/site-packages/torchvision/transforms/v2/__init__.py:54: UserWarning: The torchvision.datapoints and torchvision.transforms.v2 namespaces are still Beta. While we do not expect major breaking changes, some APIs may still change according to user feedback. Please submit any feedback you may have in this issue: https://github.com/pytorch/vision/issues/6753, and you can also check out https://github.com/pytorch/vision/issues/7319 to learn more about the APIs that we suspect might involve future changes. You can silence this warning by calling torchvision.disable_beta_transforms_warning().
  warnings.warn(_BETA_TRANSFORMS_WARNING)
[robosuite WARNING] No private macro file found! (__init__.py:7)
[robosuite WARNING] It is recommended to use a private macro file (__init__.py:8)
[robosuite WARNING] To setup, run: python /root/envs/gr00t_libero/lib/python3.10/site-packages/robosuite/scripts/setup_macros.py (__init__.py:9)
Gym has been unmaintained since 2022 and does not support NumPy 2.0 amongst other critical functionality.
Please upgrade to Gymnasium, the maintained drop-in replacement of Gym, or contact the authors of your software and request that they upgrade.
See the migration guide at https://gymnasium.farama.org/introduction/migration_guide/ for additional information.
[check] torch=2.8.0+metax3.3.0.2
[check] GPU 0=MetaX C500
[check] checkpoint Cosmos path=/mnt/afs/zhengmingkai/raozf/models/Cosmos-Reason2-2B
[info] GR00T server is ready.
2026-07-11 13:50:44.446793: I tensorflow/core/util/port.cc:113] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the environment variable `TF_ENABLE_ONEDNN_OPTS=0`.
2026-07-11 13:50:44.479246: I tensorflow/core/platform/cpu_feature_guard.cc:182] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 AVX512F AVX512_VNNI AVX512_BF16 AVX_VNNI AMX_TILE AMX_INT8 AMX_BF16 FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.
/root/envs/gr00t_libero/lib/python3.10/site-packages/torchvision/datapoints/__init__.py:12: UserWarning: The torchvision.datapoints and torchvision.transforms.v2 namespaces are still Beta. While we do not expect major breaking changes, some APIs may still change according to user feedback. Please submit any feedback you may have in this issue: https://github.com/pytorch/vision/issues/6753, and you can also check out https://github.com/pytorch/vision/issues/7319 to learn more about the APIs that we suspect might involve future changes. You can silence this warning by calling torchvision.disable_beta_transforms_warning().
  warnings.warn(_BETA_TRANSFORMS_WARNING)
/root/envs/gr00t_libero/lib/python3.10/site-packages/torchvision/transforms/v2/__init__.py:54: UserWarning: The torchvision.datapoints and torchvision.transforms.v2 namespaces are still Beta. While we do not expect major breaking changes, some APIs may still change according to user feedback. Please submit any feedback you may have in this issue: https://github.com/pytorch/vision/issues/6753, and you can also check out https://github.com/pytorch/vision/issues/7319 to learn more about the APIs that we suspect might involve future changes. You can silence this warning by calling torchvision.disable_beta_transforms_warning().
  warnings.warn(_BETA_TRANSFORMS_WARNING)
[robosuite WARNING] No private macro file found! (__init__.py:7)
[robosuite WARNING] It is recommended to use a private macro file (__init__.py:8)
[robosuite WARNING] To setup, run: python /root/envs/gr00t_libero/lib/python3.10/site-packages/robosuite/scripts/setup_macros.py (__init__.py:9)
Gym has been unmaintained since 2022 and does not support NumPy 2.0 amongst other critical functionality.
Please upgrade to Gymnasium, the maintained drop-in replacement of Gym, or contact the authors of your software and request that they upgrade.
See the migration guide at https://gymnasium.farama.org/introduction/migration_guide/ for additional information.
INFO:root:Found 4092 LIBERO-Para BDDL files
INFO:root:Shard 3/8 selected 512 of 4092 global tasks
INFO:root:Created env 0: open_the_middle_drawer_of_the_cabinet.bddl
INFO:root:Created env 1: open_the_top_drawer_and_put_the_bowl_inside.bddl
INFO:root:Created env 2: push_the_plate_to_the_front_of_the_stove.bddl
INFO:root:Created env 3: put_the_bowl_on_the_plate.bddl
INFO:root:Created env 4: put_the_bowl_on_the_stove.bddl
INFO:root:Created env 5: put_the_bowl_on_top_of_the_cabinet.bddl
INFO:root:Created env 6: put_the_cream_cheese_in_the_bowl.bddl
INFO:root:Created env 7: put_the_wine_bottle_on_the_rack.bddl
INFO:root:Created env 8: put_the_wine_bottle_on_top_of_the_cabinet.bddl
INFO:root:Created env 9: turn_on_the_stove.bddl
INFO:root:Connected to GR00T policy server at 127.0.0.1:13003
GR00T seed=1 rank=3:   0%|          | 0/512 [00:00<?, ?it/s]GR00T seed=1 rank=3:   0%|          | 1/512 [00:28<4:06:35, 28.95s/it]GR00T seed=1 rank=3:   0%|          | 1/512 [00:28<4:06:35, 28.95s/it, SR=100.00%, success=1/1]                                                                                               Rank 3 task 1/512 [global=3/4091, eval0] ✓ | success=1/1 | SR=100.00% | seed=1 | quickly open the middle drawer of the cabinet
GR00T seed=1 rank=3:   0%|          | 1/512 [00:28<4:06:35, 28.95s/it, SR=100.00%, success=1/1]GR00T seed=1 rank=3:   0%|          | 2/512 [01:04<4:41:22, 33.10s/it, SR=100.00%, success=1/1]GR00T seed=1 rank=3:   0%|          | 2/512 [01:04<4:41:22, 33.10s/it, SR=100.00%, success=2/2]                                                                                               Rank 3 task 2/512 [global=11/4091, eval1] ✓ | success=2/2 | SR=100.00% | seed=1 | Open the top drawer and carefully put the bowl inside
GR00T seed=1 rank=3:   0%|          | 2/512 [01:04<4:41:22, 33.10s/it, SR=100.00%, success=2/2]GR00T seed=1 rank=3:   1%|          | 3/512 [01:40<4:48:55, 34.06s/it, SR=100.00%, success=2/2]GR00T seed=1 rank=3:   1%|          | 3/512 [01:40<4:48:55, 34.06s/it, SR=100.00%, success=3/3]                                                                                               Rank 3 task 3/512 [global=19/4091, eval1] ✓ | success=3/3 | SR=100.00% | seed=1 | Open the top drawer and quickly put the bowl inside
GR00T seed=1 rank=3:   1%|          | 3/512 [01:40<4:48:55, 34.06s/it, SR=100.00%, success=3/3]GR00T seed=1 rank=3:   1%|          | 4/512 [02:06<4:23:17, 31.10s/it, SR=100.00%, success=3/3]GR00T seed=1 rank=3:   1%|          | 4/512 [02:06<4:23:17, 31.10s/it, SR=100.00%, success=4/4]                                                                                               Rank 3 task 4/512 [global=27/4091, eval2] ✓ | success=4/4 | SR=100.00% | seed=1 | Quickly push the plate to the front of the stove
GR00T seed=1 rank=3:   1%|          | 4/512 [02:06<4:23:17, 31.10s/it, SR=100.00%, success=4/4]GR00T seed=1 rank=3:   1%|          | 5/512 [02:25<3:45:08, 26.64s/it, SR=100.00%, success=4/4]GR00T seed=1 rank=3:   1%|          | 5/512 [02:25<3:45:08, 26.64s/it, SR=100.00%, success=5/5]                                                                                               Rank 3 task 5/512 [global=35/4091, eval3] ✓ | success=5/5 | SR=100.00% | seed=1 | quickly put the bowl on the plate
GR00T seed=1 rank=3:   1%|          | 5/512 [02:25<3:45:08, 26.64s/it, SR=100.00%, success=5/5]GR00T seed=1 rank=3:   1%|          | 6/512 [02:45<3:26:19, 24.47s/it, SR=100.00%, success=5/5]GR00T seed=1 rank=3:   1%|          | 6/512 [02:45<3:26:19, 24.47s/it, SR=100.00%, success=6/6]                                                                                               Rank 3 task 6/512 [global=43/4091, eval4] ✓ | success=6/6 | SR=100.00% | seed=1 | slowly put the bowl on the stove
GR00T seed=1 rank=3:   1%|          | 6/512 [02:45<3:26:19, 24.47s/it, SR=100.00%, success=6/6]GR00T seed=1 rank=3:   1%|▏         | 7/512 [03:06<3:16:50, 23.39s/it, SR=100.00%, success=6/6]GR00T seed=1 rank=3:   1%|▏         | 7/512 [03:06<3:16:50, 23.39s/it, SR=100.00%, success=7/7]                                                                                               Rank 3 task 7/512 [global=51/4091, eval5] ✓ | success=7/7 | SR=100.00% | seed=1 | Gently put the bowl on top of the cabinet
GR00T seed=1 rank=3:   1%|▏         | 7/512 [03:06<3:16:50, 23.39s/it, SR=100.00%, success=7/7]GR00T seed=1 rank=3:   2%|▏         | 8/512 [03:27<3:08:30, 22.44s/it, SR=100.00%, success=7/7]GR00T seed=1 rank=3:   2%|▏         | 8/512 [03:27<3:08:30, 22.44s/it, SR=100.00%, success=8/8]                                                                                               Rank 3 task 8/512 [global=59/4091, eval5] ✓ | success=8/8 | SR=100.00% | seed=1 | Precisely put the bowl on top of the cabinet
GR00T seed=1 rank=3:   2%|▏         | 8/512 [03:27<3:08:30, 22.44s/it, SR=100.00%, success=8/8]GR00T seed=1 rank=3:   2%|▏         | 9/512 [03:53<3:18:27, 23.67s/it, SR=100.00%, success=8/8]GR00T seed=1 rank=3:   2%|▏         | 9/512 [03:53<3:18:27, 23.67s/it, SR=100.00%, success=9/9]                                                                                               Rank 3 task 9/512 [global=67/4091, eval6] ✓ | success=9/9 | SR=100.00% | seed=1 | immediately put the cream cheese in the bowl
GR00T seed=1 rank=3:   2%|▏         | 9/512 [03:53<3:18:27, 23.67s/it, SR=100.00%, success=9/9]GR00T seed=1 rank=3:   2%|▏         | 10/512 [04:33<4:01:01, 28.81s/it, SR=100.00%, success=9/9]GR00T seed=1 rank=3:   2%|▏         | 10/512 [04:33<4:01:01, 28.81s/it, SR=100.00%, success=10/10]                                                                                                  Rank 3 task 10/512 [global=75/4091, eval7] ✓ | success=10/10 | SR=100.00% | seed=1 | safely put the wine bottle on the rack
GR00T seed=1 rank=3:   2%|▏         | 10/512 [04:33<4:01:01, 28.81s/it, SR=100.00%, success=10/10]GR00T seed=1 rank=3:   2%|▏         | 11/512 [04:51<3:32:58, 25.51s/it, SR=100.00%, success=10/10]GR00T seed=1 rank=3:   2%|▏         | 11/512 [04:51<3:32:58, 25.51s/it, SR=100.00%, success=11/11]                                                                                                  Rank 3 task 11/512 [global=83/4091, eval8] ✓ | success=11/11 | SR=100.00% | seed=1 | quickly put the wine bottle on top of the cabinet
GR00T seed=1 rank=3:   2%|▏         | 11/512 [04:51<3:32:58, 25.51s/it, SR=100.00%, success=11/11]GR00T seed=1 rank=3:   2%|▏         | 12/512 [05:10<3:14:26, 23.33s/it, SR=100.00%, success=11/11]GR00T seed=1 rank=3:   2%|▏         | 12/512 [05:10<3:14:26, 23.33s/it, SR=100.00%, success=12/12]                                                                                                  Rank 3 task 12/512 [global=91/4091, eval9] ✓ | success=12/12 | SR=100.00% | seed=1 | slowly turn on the stove
GR00T seed=1 rank=3:   2%|▏         | 12/512 [05:10<3:14:26, 23.33s/it, SR=100.00%, success=12/12]GR00T seed=1 rank=3:   3%|▎         | 13/512 [05:28<3:01:32, 21.83s/it, SR=100.00%, success=12/12]GR00T seed=1 rank=3:   3%|▎         | 13/512 [05:28<3:01:32, 21.83s/it, SR=100.00%, success=13/13]                                                                                                  Rank 3 task 13/512 [global=99/4091, eval9] ✓ | success=13/13 | SR=100.00% | seed=1 | correctly turn on the stove
