[info] Mode: eval
[info] Global seed: 1
[info] Server seed: 1
[info] Shard: 0/8
[info] Checkpoint: /mnt/afs/zhengmingkai/raozf/models/Gr00t-N1.7-libero/libero_goal (libero_goal only)
[info] GPU: CUDA_VISIBLE_DEVICES=0
[info] LIBERO-Para: 4092 paraphrases over 10 goal tasks
[info] Python: /root/envs/gr00t_libero/bin/python (Python 3.10.20)
[info] Output: /mnt/afs/zhengmingkai/raozf/benchmark/Isaac-GR00T/logs/libero_para/gr00t/gr00t_libero_para_3seeds_20260711_134856/seed1/workers/rank_0
2026-07-11 13:50:26.448500: I tensorflow/core/util/port.cc:113] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the environment variable `TF_ENABLE_ONEDNN_OPTS=0`.
2026-07-11 13:50:26.486892: I tensorflow/core/platform/cpu_feature_guard.cc:182] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 AVX512F AVX512_VNNI AVX512_BF16 AVX_VNNI AMX_TILE AMX_INT8 AMX_BF16 FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.
/root/envs/gr00t_libero/lib/python3.10/site-packages/torchvision/datapoints/__init__.py:12: UserWarning: The torchvision.datapoints and torchvision.transforms.v2 namespaces are still Beta. While we do not expect major breaking changes, some APIs may still change according to user feedback. Please submit any feedback you may have in this issue: https://github.com/pytorch/vision/issues/6753, and you can also check out https://github.com/pytorch/vision/issues/7319 to learn more about the APIs that we suspect might involve future changes. You can silence this warning by calling torchvision.disable_beta_transforms_warning().
  warnings.warn(_BETA_TRANSFORMS_WARNING)
/root/envs/gr00t_libero/lib/python3.10/site-packages/torchvision/transforms/v2/__init__.py:54: UserWarning: The torchvision.datapoints and torchvision.transforms.v2 namespaces are still Beta. While we do not expect major breaking changes, some APIs may still change according to user feedback. Please submit any feedback you may have in this issue: https://github.com/pytorch/vision/issues/6753, and you can also check out https://github.com/pytorch/vision/issues/7319 to learn more about the APIs that we suspect might involve future changes. You can silence this warning by calling torchvision.disable_beta_transforms_warning().
  warnings.warn(_BETA_TRANSFORMS_WARNING)
[robosuite WARNING] No private macro file found! (__init__.py:7)
[robosuite WARNING] It is recommended to use a private macro file (__init__.py:8)
[robosuite WARNING] To setup, run: python /root/envs/gr00t_libero/lib/python3.10/site-packages/robosuite/scripts/setup_macros.py (__init__.py:9)
Gym has been unmaintained since 2022 and does not support NumPy 2.0 amongst other critical functionality.
Please upgrade to Gymnasium, the maintained drop-in replacement of Gym, or contact the authors of your software and request that they upgrade.
See the migration guide at https://gymnasium.farama.org/introduction/migration_guide/ for additional information.
[check] torch=2.8.0+metax3.3.0.2
[check] GPU 0=MetaX C500
[check] checkpoint Cosmos path=/mnt/afs/zhengmingkai/raozf/models/Cosmos-Reason2-2B
[info] GR00T server is ready.
2026-07-11 13:50:42.279429: I tensorflow/core/util/port.cc:113] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the environment variable `TF_ENABLE_ONEDNN_OPTS=0`.
2026-07-11 13:50:42.312010: I tensorflow/core/platform/cpu_feature_guard.cc:182] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 AVX512F AVX512_VNNI AVX512_BF16 AVX_VNNI AMX_TILE AMX_INT8 AMX_BF16 FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.
/root/envs/gr00t_libero/lib/python3.10/site-packages/torchvision/datapoints/__init__.py:12: UserWarning: The torchvision.datapoints and torchvision.transforms.v2 namespaces are still Beta. While we do not expect major breaking changes, some APIs may still change according to user feedback. Please submit any feedback you may have in this issue: https://github.com/pytorch/vision/issues/6753, and you can also check out https://github.com/pytorch/vision/issues/7319 to learn more about the APIs that we suspect might involve future changes. You can silence this warning by calling torchvision.disable_beta_transforms_warning().
  warnings.warn(_BETA_TRANSFORMS_WARNING)
/root/envs/gr00t_libero/lib/python3.10/site-packages/torchvision/transforms/v2/__init__.py:54: UserWarning: The torchvision.datapoints and torchvision.transforms.v2 namespaces are still Beta. While we do not expect major breaking changes, some APIs may still change according to user feedback. Please submit any feedback you may have in this issue: https://github.com/pytorch/vision/issues/6753, and you can also check out https://github.com/pytorch/vision/issues/7319 to learn more about the APIs that we suspect might involve future changes. You can silence this warning by calling torchvision.disable_beta_transforms_warning().
  warnings.warn(_BETA_TRANSFORMS_WARNING)
[robosuite WARNING] No private macro file found! (__init__.py:7)
[robosuite WARNING] It is recommended to use a private macro file (__init__.py:8)
[robosuite WARNING] To setup, run: python /root/envs/gr00t_libero/lib/python3.10/site-packages/robosuite/scripts/setup_macros.py (__init__.py:9)
Gym has been unmaintained since 2022 and does not support NumPy 2.0 amongst other critical functionality.
Please upgrade to Gymnasium, the maintained drop-in replacement of Gym, or contact the authors of your software and request that they upgrade.
See the migration guide at https://gymnasium.farama.org/introduction/migration_guide/ for additional information.
INFO:root:Found 4092 LIBERO-Para BDDL files
INFO:root:Shard 0/8 selected 512 of 4092 global tasks
INFO:root:Created env 0: open_the_middle_drawer_of_the_cabinet.bddl
INFO:root:Created env 1: open_the_top_drawer_and_put_the_bowl_inside.bddl
INFO:root:Created env 2: push_the_plate_to_the_front_of_the_stove.bddl
INFO:root:Created env 3: put_the_bowl_on_the_plate.bddl
INFO:root:Created env 4: put_the_bowl_on_the_stove.bddl
INFO:root:Created env 5: put_the_bowl_on_top_of_the_cabinet.bddl
INFO:root:Created env 6: put_the_cream_cheese_in_the_bowl.bddl
INFO:root:Created env 7: put_the_wine_bottle_on_the_rack.bddl
INFO:root:Created env 8: put_the_wine_bottle_on_top_of_the_cabinet.bddl
INFO:root:Created env 9: turn_on_the_stove.bddl
INFO:root:Connected to GR00T policy server at 127.0.0.1:13000
GR00T seed=1 rank=0:   0%|          | 0/512 [00:00<?, ?it/s]GR00T seed=1 rank=0:   0%|          | 1/512 [00:29<4:14:00, 29.83s/it]GR00T seed=1 rank=0:   0%|          | 1/512 [00:29<4:14:00, 29.83s/it, SR=100.00%, success=1/1]                                                                                               Rank 0 task 1/512 [global=0/4091, eval0] ✓ | success=1/1 | SR=100.00% | seed=1 | gently open the middle drawer of the cabinet
GR00T seed=1 rank=0:   0%|          | 1/512 [00:29<4:14:00, 29.83s/it, SR=100.00%, success=1/1]GR00T seed=1 rank=0:   0%|          | 2/512 [00:55<3:54:00, 27.53s/it, SR=100.00%, success=1/1]GR00T seed=1 rank=0:   0%|          | 2/512 [00:55<3:54:00, 27.53s/it, SR=100.00%, success=2/2]                                                                                               Rank 0 task 2/512 [global=8/4091, eval0] ✓ | success=2/2 | SR=100.00% | seed=1 | silently open the middle drawer of the cabinet
GR00T seed=1 rank=0:   0%|          | 2/512 [00:55<3:54:00, 27.53s/it, SR=100.00%, success=2/2]GR00T seed=1 rank=0:   1%|          | 3/512 [01:30<4:21:22, 30.81s/it, SR=100.00%, success=2/2]GR00T seed=1 rank=0:   1%|          | 3/512 [01:30<4:21:22, 30.81s/it, SR=100.00%, success=3/3]                                                                                               Rank 0 task 3/512 [global=16/4091, eval1] ✓ | success=3/3 | SR=100.00% | seed=1 | Quickly open the top drawer and put the bowl inside
GR00T seed=1 rank=0:   1%|          | 3/512 [01:30<4:21:22, 30.81s/it, SR=100.00%, success=3/3]GR00T seed=1 rank=0:   1%|          | 4/512 [01:55<4:01:29, 28.52s/it, SR=100.00%, success=3/3]GR00T seed=1 rank=0:   1%|          | 4/512 [01:55<4:01:29, 28.52s/it, SR=100.00%, success=4/4]                                                                                               Rank 0 task 4/512 [global=24/4091, eval2] ✓ | success=4/4 | SR=100.00% | seed=1 | Firmly push the plate to the front of the stove
GR00T seed=1 rank=0:   1%|          | 4/512 [01:55<4:01:29, 28.52s/it, SR=100.00%, success=4/4]GR00T seed=1 rank=0:   1%|          | 5/512 [02:13<3:29:54, 24.84s/it, SR=100.00%, success=4/4]GR00T seed=1 rank=0:   1%|          | 5/512 [02:13<3:29:54, 24.84s/it, SR=100.00%, success=5/5]                                                                                               Rank 0 task 5/512 [global=32/4091, eval3] ✓ | success=5/5 | SR=100.00% | seed=1 | gently put the bowl on the plate
GR00T seed=1 rank=0:   1%|          | 5/512 [02:13<3:29:54, 24.84s/it, SR=100.00%, success=5/5]GR00T seed=1 rank=0:   1%|          | 6/512 [02:33<3:15:11, 23.14s/it, SR=100.00%, success=5/5]GR00T seed=1 rank=0:   1%|          | 6/512 [02:33<3:15:11, 23.14s/it, SR=100.00%, success=6/6]                                                                                               Rank 0 task 6/512 [global=40/4091, eval4] ✓ | success=6/6 | SR=100.00% | seed=1 | carefully put the bowl on the stove
GR00T seed=1 rank=0:   1%|          | 6/512 [02:33<3:15:11, 23.14s/it, SR=100.00%, success=6/6]GR00T seed=1 rank=0:   1%|▏         | 7/512 [02:53<3:04:39, 21.94s/it, SR=100.00%, success=6/6]GR00T seed=1 rank=0:   1%|▏         | 7/512 [02:53<3:04:39, 21.94s/it, SR=100.00%, success=7/7]                                                                                               Rank 0 task 7/512 [global=48/4091, eval4] ✓ | success=7/7 | SR=100.00% | seed=1 | steadily put the bowl on the stove
GR00T seed=1 rank=0:   1%|▏         | 7/512 [02:53<3:04:39, 21.94s/it, SR=100.00%, success=7/7]GR00T seed=1 rank=0:   2%|▏         | 8/512 [03:12<2:58:13, 21.22s/it, SR=100.00%, success=7/7]GR00T seed=1 rank=0:   2%|▏         | 8/512 [03:12<2:58:13, 21.22s/it, SR=100.00%, success=8/8]                                                                                               Rank 0 task 8/512 [global=56/4091, eval5] ✓ | success=8/8 | SR=100.00% | seed=1 | Swiftly put the bowl on top of the cabinet
GR00T seed=1 rank=0:   2%|▏         | 8/512 [03:12<2:58:13, 21.22s/it, SR=100.00%, success=8/8]GR00T seed=1 rank=0:   2%|▏         | 9/512 [03:57<4:00:15, 28.66s/it, SR=100.00%, success=8/8]GR00T seed=1 rank=0:   2%|▏         | 9/512 [03:57<4:00:15, 28.66s/it, SR=100.00%, success=9/9]                                                                                               Rank 0 task 9/512 [global=64/4091, eval6] ✓ | success=9/9 | SR=100.00% | seed=1 | quickly put the cream cheese in the bowl
GR00T seed=1 rank=0:   2%|▏         | 9/512 [03:57<4:00:15, 28.66s/it, SR=100.00%, success=9/9]GR00T seed=1 rank=0:   2%|▏         | 10/512 [04:31<4:12:50, 30.22s/it, SR=100.00%, success=9/9]GR00T seed=1 rank=0:   2%|▏         | 10/512 [04:31<4:12:50, 30.22s/it, SR=100.00%, success=10/10]                                                                                                  Rank 0 task 10/512 [global=72/4091, eval7] ✓ | success=10/10 | SR=100.00% | seed=1 | slowly put the wine bottle on the rack
GR00T seed=1 rank=0:   2%|▏         | 10/512 [04:31<4:12:50, 30.22s/it, SR=100.00%, success=10/10]GR00T seed=1 rank=0:   2%|▏         | 11/512 [04:49<3:41:57, 26.58s/it, SR=100.00%, success=10/10]GR00T seed=1 rank=0:   2%|▏         | 11/512 [04:49<3:41:57, 26.58s/it, SR=100.00%, success=11/11]                                                                                                  Rank 0 task 11/512 [global=80/4091, eval8] ✓ | success=11/11 | SR=100.00% | seed=1 | carefully put the wine bottle on top of the cabinet
GR00T seed=1 rank=0:   2%|▏         | 11/512 [04:49<3:41:57, 26.58s/it, SR=100.00%, success=11/11]GR00T seed=1 rank=0:   2%|▏         | 12/512 [05:08<3:21:06, 24.13s/it, SR=100.00%, success=11/11]GR00T seed=1 rank=0:   2%|▏         | 12/512 [05:08<3:21:06, 24.13s/it, SR=100.00%, success=12/12]                                                                                                  Rank 0 task 12/512 [global=88/4091, eval8] ✓ | success=12/12 | SR=100.00% | seed=1 | deftly put the wine bottle on top of the cabinet
GR00T seed=1 rank=0:   2%|▏         | 12/512 [05:08<3:21:06, 24.13s/it, SR=100.00%, success=12/12]GR00T seed=1 rank=0:   3%|▎         | 13/512 [05:27<3:07:55, 22.60s/it, SR=100.00%, success=12/12]GR00T seed=1 rank=0:   3%|▎         | 13/512 [05:27<3:07:55, 22.60s/it, SR=100.00%, success=13/13]                                                                                                  Rank 0 task 13/512 [global=96/4091, eval9] ✓ | success=13/13 | SR=100.00% | seed=1 | now turn on the stove
